Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,P110 Corpac - PVS,RECEPCIÓN,202409,18613487,2205957,0.11851388888888889,0,0,,,,,1.0,,,1.0
Export,P126 Santa Clara - PVH,INVENTARIOS,202412,15155017,12526314,0.8265456989247312,0,0,,,,,3.0,,,2.0
Export,SO04 Jaen - PVO,INVENTARIOS,202412,11476639,9436304,0.8178427419354839,0,0,,,,,2.0,,,2.0
Export,P115 Huancayo - PVH,INVENTARIOS,202412,11304299,12845413,1.13119623655914,0,0,,,,,3.0,,,3.0
Export,V095 Monterrico - VIV,INVENTARIOS,202412,10819915,3773736,0.34877688172043014,0,0,,,,,1.0,,,1.0
Export,P147 Juliaca - PVH,INVENTARIOS,202412,10778472,12411762,0.9038844086021506,0,0,,,,,2.0,,,2.0
Export,1199 San Miguel - PVH,RECEPCIÓN,202408,10727812,5652288,0.5268817204301076,0,0,,,,,1.0,,,1.0
Export,P223 Cusco Mall - PVH,INVENTARIOS,202412,10712358,11679986,1.082600806451613,0,0,,,,,3.0,,,3.0
Export,P109 Dasso - PVS,RECEPCIÓN,202409,10684246,5137471,0.47852777777777783,0,0,,,,,3.0,,,1.0
Export,P010 Caminos del Inca - PVS,INVENTARIOS,202406,10507112,6994380,0.6656805555555556,0,0,,,,,3.0,,,3.0
Export,P229 Salaverry - PVH,INVENTARIOS,202412,10416415,9226162,0.8854435483870968,0,0,,,,,3.0,,,2.0
Export,P221 Barranca - PVH,RECEPCIÓN,202409,10043792,2035044,0.20246527777777779,0,0,,,,,1.0,,,
Export,P110 Corpac - PVS,RECEPCIÓN,202401,10043548,2267898,0.22580645161290325,0,0,,,,,1.0,,,1.0
Export,P109 Dasso - PVS,RECEPCIÓN,202404,10035337,5245136,0.5226666666666667,0,0,,,,,3.0,,,2.0
Export,SO05 Tarapoto - PVO,INVENTARIOS,202412,9700174,12601501,1.2187432795698925,0,0,,,,,3.0,,,3.0
Export,P102 Chiclayo - PVH,INVENTARIOS,202412,9452347,11289731,1.1739583333333334,0,0,,,,,3.0,,,3.0
Export,P145 Piura - PVH,INVENTARIOS,202412,9208652,12426916,1.3476881720430107,0,0,,,,,3.0,,,3.0
Export,P156 El Tambo Huancayo - PVS,CAJAS,202411,9202849,1677603,0.18229166666666669,0,0,,,,,1.0,,,1.0
Export,P465 Sucre - PVH,RECEPCIÓN,202409,8992850,8555462,0.9499583333333335,0,0,,,,,2.5,,,1.5
Export,P119 Puente Piedra - PVH,INVENTARIOS,202412,8956893,12188507,1.3604368279569892,0,0,,,,,3.0,,,3.0
Export,P146 Tacna - PVH,INVENTARIOS,202412,8743661,13303950,1.3567674731182797,0,0,,,,,3.0,,,3.0
Export,P723 Puruchuco - PVH,INVENTARIOS,202412,8661596,10664648,1.2312567204301075,0,0,,,,,3.0,,,3.0
Export,P724 Tumbes - PVH,INVENTARIOS,202412,8595220,8992355,0.9089650537634408,0,0,,,,,2.0,,,2.0
Export,P125 SJ Lurigancho - PVH,INVENTARIOS,202412,8320513,7506811,0.9014852150537636,0,0,,,,,3.0,,,2.0
Export,P075 Trujillo - PVH,INVENTARIOS,202412,8180607,14263344,1.719375,0,0,,,,,4.0,,,4.0
Export,P114 Pro - PVH,INVENTARIOS,202412,8166829,10295968,1.2607056451612904,0,0,,,,,3.0,,,4.0
Export,P130 Chimbote - PVH,INVENTARIOS,202412,7943893,7210805,0.9045900537634408,0,0,,,,,2.0,,,2.0
Export,1199 San Miguel - PVH,RECEPCIÓN,202412,7765368,7940649,1.0185752688172045,0,0,,,,,1.0,,,1.0
Export,P010 Caminos del Inca - PVS,RECEPCIÓN,202408,7758519,11548894,1.488252688172043,0,0,,,,,5.0,,,3.0
Export,SO03 Huanuco - PVO,INVENTARIOS,202412,7644798,10726107,1.3478293010752689,0,0,,,,,3.0,,,3.0
Export,P291 La Curva - PVH,INVENTARIOS,202412,7531193,8862918,1.1768279569892475,0,0,,,,,3.0,,,3.0
Export,P238 Grifo Mexico - PVH,RECEPCIÓN,202402,7255741,1425920,0.19652298850574715,0,0,,,,,1.0,,,
Export,P142 Chincha - PVH,RECEPCIÓN,202405,7159440,3773491,0.5268817204301076,0,0,,,,,2.0,,,2.0
Export,SO02 Pucallpa - PVO,INVENTARIOS,202412,7125150,10898374,1.355826612903226,0,0,,,,,3.0,,,3.0
Export,SO04 Jaen - PVO,INVENTARIOS,202406,7094215,5875399,0.8280902777777779,0,0,,,,,2.0,,,1.0
Export,P010 Caminos del Inca - PVS,INVENTARIOS,202412,7025853,9462102,1.3307056451612904,0,0,,,,,3.0,,,2.5
Export,P199 Grifo Kio - PVS,INVENTARIOS,202412,7024023,1266212,0.1802688172043011,0,0,,,,,1.0,,,1.0
Export,P195 San Borja - PVH,INVENTARIOS,202412,7013578,9540092,1.3598252688172043,0,0,,,,,3.0,,,3.0
Export,P158 Villa el Salvador - PVS,INVENTARIOS,202412,6903753,2807990,0.40673387096774194,0,0,,,,,2.0,,,1.0
Export,P229 Salaverry - PVH,RECEPCIÓN,202408,6875335,8822377,1.2831922043010753,0,0,,,,,4.0,,,2.0
Export,V093 Dos de Mayo - VIV,RECEPCIÓN,202406,6820598,2482035,0.3639027777777778,0,0,,,,,2.0,,,1.0
Export,P231 Ventanilla - PVH,INVENTARIOS,202412,6778243,8291549,1.2232594086021504,0,0,,,,,3.0,,,3.0
Export,P333 Ves Placita - PVH,RECEPCIÓN,202403,6774976,6977562,1.0298185483870967,0,0,,,,,2.0,,,1.0
Export,P262 Talara Municipalidad - PVH,RECEPCIÓN,202402,6699308,4797005,0.7149856321839082,0,0,,,,,3.0,,,1.0
Export,P048 Higuereta - PVH,INVENTARIOS,202412,6667489,9094119,1.3563440860215055,0,0,,,,,3.0,,,3.0
Export,P117 Izaguirre - PVH,INVENTARIOS,202412,6652099,8931107,1.3422782258064516,0,0,,,,,4.0,,,3.0
